name,number,street,city,lon,lat,freq
Commercial Hotel,,,,153.003494,-28.6204991,48
Commercial Hotel,,,,151.2645838,-27.1824842,48
Commercial Hotel,,,,148.8194173,-34.7664471,48
Commercial Hotel,,,,148.8834933,-37.146975,48
Commercial Hotel,,,,150.9018322,-34.4811614,48
Commercial Hotel,,,,147.1388631,-41.4340266,48
Commercial Hotel,,,,172.3257256,-41.7999334,48
Commercial Hotel,,,,148.2222836,-35.3014866,48
Commercial Hotel,,,,150.4362116,-35.3162684,48
Commercial Hotel,,,,142.0216461,-37.7424026,48
Commercial Hotel,,,,138.6055871,-33.2058038,48
Commercial Hotel,,,,142.198844,-36.716414,48
Commercial Hotel,65,Grant Street,,145.7100304,-37.1917292,48
Commercial Hotel,,,,152.6820729,-27.9971988,48
Commercial Hotel,,,,175.8389819,-37.3921439,48
Commercial Hotel,,,,144.2237655,-37.6003624,48
Commercial Hotel,,,,142.4144013,-36.0759447,48
Commercial Hotel,,,,140.7770292,-37.8271583,48
Commercial Hotel,,,,150.1963142,-23.9083836,48
Commercial Hotel,,,,145.0890253,-37.6510383,48
Commercial Hotel,,,,146.7845068,-37.9838019,48
Commercial Hotel,80,Capella Street,,147.6400145,-22.8256264,48
Commercial Hotel,57,Brook Street,,142.6639861,-35.6807067,48
Commercial Hotel,,,,153.3372194,-27.9894796,48
Commercial Hotel,,,,150.6471796,-31.3521243,48
Commercial Hotel,,,,150.6110066,-30.3774492,48
Commercial Hotel,,,,151.0759854,-30.1703489,48
Commercial Hotel,35,Main Street,,142.5858487,-36.460996,48
Commercial Hotel,,Adams Street,,141.9180686,-34.1075886,48
Commercial Hotel,,,,146.2541231,-37.5698358,48
Commercial Hotel,,,,148.2470401,-20.013883,48
Commercial Hotel,,,,152.9524348,-29.0867701,48
Commercial Hotel,22,Commercial Street,,138.938204,-33.6827671,48
Commercial Hotel,,,,151.0958546,-29.3221528,48
Commercial Hotel,,,,148.3882903,-30.9544977,48
Commercial Hotel,,,,138.8931114,-35.2559537,48
Commercial Hotel,,,,152.0189727,-29.0532578,48
Commercial Hotel,95,Godfrey Street,,143.7254096,-36.1166379,48
Commercial Hotel,,,,150.8889339,-32.1616304,48
Commercial Hotel,,,,138.6132102,-32.7343317,48
Commercial Hotel,,,,146.5733568,-38.1253869,48
Commercial Hotel,,,,147.8817141,-34.5000819,48
Commercial Hotel,,,,144.7085741,-36.9219637,48
Commercial Hotel,,,,118.2773533,-31.4819403,48
Commercial Hotel,,,,151.0068518,-33.8180011,48
Commercial Hotel,,,,148.1752118,-33.1381441,48
Commercial Hotel,,,,150.5750272,-29.5418313,48
Commercial Hotel,161,Brisbane Street,,148.6033566,-32.2482176,48
Royal Hotel,,,,151.241874,-33.9183477,45
Royal Hotel,,,,151.2686395,-33.8948327,45
Royal Hotel,,,,170.1477951,-45.0236108,45
Royal Hotel,,,,149.4169197,-33.032432,45
Royal Hotel,,Obley Street,,148.6476646,-32.7540051,45
Royal Hotel,,,,145.1267499,-37.0201323,45
Royal Hotel,,,,175.3223198,-41.116988,45
Royal Hotel,,,,144.98958,-37.821557,45
Royal Hotel,,,,144.9973808,-37.7887974,45
Royal Hotel,,,,150.247081,-31.3954081,45
Royal Hotel,,,,149.0479307,-33.6732557,45
Royal Hotel,,,,142.1993497,-36.7168351,45
Royal Hotel,,,,145.3860367,-17.3838797,45
Royal Hotel,,,,152.6242197,-27.9381745,45
Royal Hotel,,,,144.7294365,-37.5799845,45
Royal Hotel,,,,150.8317595,-31.76171,45
Royal Hotel,,,,152.4606314,-31.9139606,45
Royal Hotel,,,,152.5831624,-25.728569,45
Royal Hotel,,,,143.2668142,-26.6686483,45
Royal Hotel,,,,150.5763976,-29.5413365,45
Royal Hotel,,,,151.0563422,-34.0319332,45
Royal Hotel,,,,149.2779758,-31.2746886,45
Royal Hotel,,,,149.8823569,-27.3221517,45
Royal Hotel,,,,152.0203406,-29.0534457,45
Royal Hotel,,,,149.2338569,-35.3531083,45
Royal Hotel,,,,149.8285243,-31.3465034,45
Royal Hotel,,,,150.3038762,-28.5467353,45
Royal Hotel,,,,152.2777252,-27.5555662,45
Royal Hotel,,,,151.75668,-32.4048833,45
Royal Hotel,,,,150.7203622,-30.7474804,45
Royal Hotel,,,,146.624593,-33.8752309,45
Royal Hotel,,,,141.9959766,-35.8981998,45
Royal Hotel,,Kidman Way,,145.8794637,-32.8398177,45
Royal Hotel,,,,147.739889,-33.8434069,45
Royal Hotel,,,,145.7076159,-38.3680977,45
Royal Hotel,,,,148.6936548,-33.1857846,45
Royal Hotel,,,,149.378352,-31.552574,45
Royal Hotel,,,,150.7528385,-33.5975317,45
Royal Hotel,,,,153.2003066,-27.7156754,45
Royal Hotel,,,,151.2117328,-29.9547747,45
Royal Hotel,95,Sanger Street,,146.3914197,-35.9984948,45
Royal Hotel,,,,144.1429625,-37.3417675,45
Royal Hotel,,Dubbo Street,,147.8367414,-31.7009917,45
Royal Hotel,,,,148.174729,-33.1362912,45
Royal Hotel,,,,151.9814179,-26.8408662,45
Railway Hotel,,,,144.9783322,-37.7806158,24
Railway Hotel,,,,144.2129482,-37.0625593,24
Railway Hotel,,,,170.9637313,-42.7179611,24
Railway Hotel,,,,144.0548081,-37.1123923,24
Railway Hotel,280,Ferrars Street,,144.9558859,-37.8354415,24
Railway Hotel,,,,145.1379813,-37.0239435,24
Railway Hotel,,,,148.6958716,-33.8351495,24
Railway Hotel,,,,149.9693989,-32.859508,24
Railway Hotel,,,,144.890716,-37.816784,24
Railway Hotel,,,,152.6765258,-26.4600363,24
Railway Hotel,,,,149.9534859,-30.5976229,24
Railway Hotel,,,,150.0410242,-30.7035214,24
Railway Hotel,247,Commercial Road,,138.5067885,-34.8439152,24
Railway Hotel,,,,145.7727814,-16.9242798,24
Railway Hotel,,,,146.7870163,-37.9808696,24
Railway Hotel,,,,143.7227375,-36.1165225,24
Railway Hotel,,,,150.6472631,-31.3508142,24
Railway Hotel,,,,150.8121759,-33.6131084,24
Railway Hotel,,,,143.5627451,-37.6870294,24
Railway Hotel,,,,146.7261826,-36.5581893,24
Railway Hotel,2,High Street,,144.1722125,-38.044827,24
Railway Hotel,19,Spring Street,,149.1549127,-33.4009655,24
Railway Hotel,,,,150.7425307,-23.1287801,24
Railway Hotel,,,,152.8320038,-31.0794666,24
Victoria Hotel,,,,151.1672165,-33.8826123,20
Victoria Hotel,55,Baylis Street,,147.3693206,-35.1174828,20
Victoria Hotel,,,,144.9557059,-37.805652,20
Victoria Hotel,205,Hogan Street,,145.2322059,-36.4398577,20
Victoria Hotel,,,,142.029131,-36.4550784,20
Victoria Hotel,27,The Mall,,130.842693,-12.4643506,20
Victoria Hotel,,,,142.196871,-36.710478,20
Victoria Hotel,380,Victoria Street,,144.9589904,-37.766843,20
Victoria Hotel,,,,144.5267346,-37.357701,20
Victoria Hotel,,,,150.3048786,-28.5464828,20
Victoria Hotel,,Meylin Street,,140.7002393,-38.0525775,20
Victoria Hotel,43,Victoria Street,,144.8928148,-37.8020622,20
Victoria Hotel,,,,150.6105041,-30.3802058,20
Victoria Hotel,12,Taverner Street,,142.4210656,-35.9405665,20
Victoria Hotel,20,Victoria Street,,144.1143008,-36.055488,20
Victoria Hotel,,,,142.3169034,-35.071157,20
Victoria Hotel,,,,147.1783154,-36.2174131,20
Victoria Hotel,,,,142.4855439,-38.3817946,20
Victoria Hotel,337,Gosport Street,,149.8469119,-29.4734198,20
Victoria Hotel,,,,151.6488339,-32.7149605,20
Imperial Hotel,,,,151.2684774,-27.1794538,15
Imperial Hotel,,,,151.5535647,-32.7311235,15
Imperial Hotel,2-8,Bourke Street,,144.972707,-37.81127,15
Imperial Hotel,,,,148.6876855,-33.8339802,15
Imperial Hotel,,,,149.9818058,-33.3546816,15
Imperial Hotel,Lot 1,Rooty Hill Road North,,150.8435199,-33.771435,15
Imperial Hotel,,,,149.2771106,-31.2736981,15
Imperial Hotel,,,,149.4443154,-30.2251042,15
Imperial Hotel,,,,150.571551,-29.8673782,15
Imperial Hotel,,,,150.7192381,-30.7460387,15
Imperial Hotel,,,,153.2003836,-27.7160983,15
Imperial Hotel,,,,149.2401863,-36.9106245,15
Imperial Hotel,33,Byron Street,,151.1116792,-29.7736627,15
Imperial Hotel,,,,151.7356411,-29.7368459,15
Imperial Hotel,,,,150.2499392,-30.9781921,15
Grand Hotel,,,,151.2493905,-33.8937464,11
Grand Hotel,499,Nepean Highway,,145.1204742,-38.1452014,11
Grand Hotel,,,,152.3778895,-27.0880723,11
Grand Hotel,,,,145.5172438,-37.6541164,11
Grand Hotel,,,,152.0457499,-25.5123807,11
Grand Hotel,129,Lee Street,,148.9406825,-32.5505175,11
Grand Hotel,,,,147.6401002,-22.8248194,11
Grand Hotel,,,,147.047411,-43.033028,11
Grand Hotel,,,,149.8405835,-36.6740466,11
Grand Hotel,,,,142.2198207,-10.5848775,11
Grand Hotel,,,,152.2774591,-25.2367066,11
Tattersalls Hotel,,Mitchell Highway,,145.7133418,-29.0126481,9
Tattersalls Hotel,,,,144.0341583,-35.0913515,9
Tattersalls Hotel,,,,149.0678648,-30.9494453,9
Tattersalls Hotel,,,,145.5303492,-33.4858695,9
Tattersalls Hotel,,,,148.5763082,-29.5456926,9
Tattersalls Hotel,,,,151.5977791,-29.4450165,9
Tattersalls Hotel,,,,149.2547625,-33.5334963,9
Tattersalls Hotel,,,,152.3589527,-24.8704298,9
Tattersalls Hotel,,,,145.565102,-35.8120472,9
Crown Hotel,,,,151.2094508,-33.8782586,8
Australian Hotel,,,,150.8340237,-33.6149091,8
Crown Hotel,,,,153.0332896,-27.424463,8
Crown Hotel,,,,144.0609994,-37.1072225,8
Australian Hotel,,,,148.6846935,-33.8327225,8
Australian Hotel,,,,149.1254416,-36.2350383,8
Crown Hotel,,,,143.8836564,-37.6499256,8
Australian Hotel,,,,145.3859026,-17.3837466,8
Australian Hotel,,,,152.6823342,-27.9979766,8
